,album_id,song_id,song_title
0,4070675,6145236,Mother Nature (H₂O)
1,4069567,6141496,드라마
2,4069567,6141497,정거장
3,4069567,6141498,겨울잠
4,4069567,6141499,너
5,4069567,6141500,러브레터
6,4066238,6132120,strawberry moon
7,4027185,6097466,라일락
8,4027185,6097467,Flu
9,4027185,6097468,Coin
10,4027185,6097469,봄 안녕 봄
11,4027185,6065263,Celebrity
12,4027185,6097470,돌림노래 (Feat. DEAN)
13,4027185,6097471,빈 컵 (Empty Cup)
14,4027185,6097472,아이와 나의 바다
15,4027185,6097473,어푸 (Ah puh)
16,4027185,6097474,에필로그
17,20332692,31947647,Into the I-LAND
18,20322838,31904571,에잇(Prod.&Feat. SUGA of BTS)
19,20306273,31833137,우연인 듯 운명
20,20306273,31833138,Flower
21,20306273,31833139,노을
22,20306273,31833140,"다시 난, 여기"
23,20306273,31833141,어떤 날엔
24,20306273,31833142,시그리스빌 (사랑의 불시착 Title Full Ver.)
25,20306273,31833143,고향의 봄
26,20306273,31833144,그날의 바람
27,20306273,31833145,형을 위한 노래 (Feat. 정혁)
28,20306273,31833146,나의 동무여
29,20306273,31833147,들꽃처럼
30,20306273,31833148,세리를 향한 정혁의 시간
31,20306273,31833149,함께 걷던 순간
32,20306273,31833150,세리스 쵸이스
33,20306273,31833151,내 마음의 사진
34,20306273,31833152,그리움의 언덕
35,20306273,31833153,나의 모든 날
36,20306273,31833154,좋다
37,20306273,31833155,둘만의 세상으로 가
38,20306273,31833156,마음을 드려요
39,20306273,31833157,영애동지와 마을 사람들
40,20306273,31833158,치수와 세리
41,20306273,31833159,형을 위한 노래 (Orchestra Ver.)
42,20306273,31833160,단이
43,20306273,31833161,"같은 하늘, 다른 세상"
44,20306273,31833162,소풍
45,20306273,31833163,너와 나의 그 계절
46,20306273,31833164,그날이 오면
47,20306273,31833165,Sigriswil (Opening Title Ver.)
48,20306376,31833551,마음을 드려요
49,20306376,31833552,마음을 드려요 (Inst.)
50,20293519,31779032,첫 겨울이니까
51,20293519,31779033,첫 겨울이니까 (Inst.)
52,20286013,5803783,unlucky
53,20286013,5803784,그 사람
54,20286013,5803785,Blueming
55,20286013,5803644,시간의 바깥
56,20286013,5803786,자장가
57,20286013,31740348,Love poem
58,20199158,31264762,삐삐
59,20119646,30784473,가을 아침
60,20119646,4995784,비밀의 화원
61,20119646,4995785,잠 못 드는 밤 비는 내리고
62,20119646,4995786,어젯밤 이야기
63,20119646,4995787,개여울
64,20119646,4995788,매일 그대와
65,20094140,30632852,이 지금
66,20094140,30632853,팔레트 (Feat. G-DRAGON)
67,20094140,30632854,이런 엔딩
68,20094140,-,[권리없는 곡] 사랑이 잘 (With 오혁)
69,20094140,30632856,잼잼
70,20094140,30632857,Black Out
71,20094140,30632858,마침표
72,20094140,-,[권리없는 곡] 밤편지
73,20094140,30632860,그렇게 사랑은
74,20094140,30632861,이름에게
75,20091571,30614215,사랑이 잘 (With 오혁)
76,20089092,30598121,밤편지
77,537084,4607103,새 신발
78,537084,4607104,Zezé
79,537084,4607105,스물셋
80,537084,4607106,푸르던
81,537084,4607107,Red Queen (feat. Zion.T)
82,537084,4607108,무릎
83,537084,4607109,안경
84,503897,4345083,마음
85,454850,3700664,소격동
86,437531,3572219,애타는 마음
87,437531,3572220,애타는 마음 (inst.)
88,430333,3511605,나의 옛날이야기
89,430333,3511606,꽃
90,430333,3511607,삐에로는 우릴 보고 웃지
91,430333,3511608,사랑이 지나가면
92,430333,3511609,너의 의미 (feat. 김창완)
93,430333,3511610,여름밤의 꿈
94,430333,3511611,꿍따리 샤바라 (feat. 클론)
95,423242,3455796,봄 사랑 벚꽃 말고
96,423242,3455797,봄 사랑 벚꽃 말고 (inst.)
97,403619,3322699,금요일에 만나요 (feat. 장이정 Of History)
98,403619,3322700,크레파스 (드라마 '예쁜 남자' 삽입곡)
99,403619,3322701,을의 연애 (With 박주원)
100,403619,3322702,누구나 비밀은 있다 (feat. 가인 Of Brown Eyed Girls)
101,403619,3322703,입술 사이 (50cm)
102,403619,3322704,분홍신
103,403619,3322705,Modern Times
104,403619,3322706,싫은 날
105,403619,3322707,Obliviate
106,403619,3322708,아이야 나랑 걷자 (feat. 최백호)
107,403619,3322709,Havana
108,403619,3322710,우울시계 (feat. 종현 Of SHINee)
109,403619,3322711,한낮의 꿈 (feat. 양희은)
110,403619,3322712,기다려
111,403619,3322713,(Bonus Track) Voice Mail (Korean ver.)
112,391147,3226145,을의 연애 (With 박주원)
113,391147,3226146,누구나 비밀은 있다 (feat. 가인 Of Brown Eyed Girls)
114,391147,3226147,입술 사이 (50cm)
115,391147,3226148,분홍신
116,391147,3226149,Modern Times
117,391147,3226150,싫은 날
118,391147,3226151,Obliviate
119,391147,3226152,아이야 나랑 걷자 (feat. 최백호)
120,391147,3226153,Havana
121,391147,3226154,우울시계 (feat. 종현 Of SHINee)
122,391147,3226155,한낮의 꿈 (feat. 양희은)
123,391147,3226156,기다려
